label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	857.28	11.54	47581.00	857.28	225000.00	845.74	0.00	225000.00	0.8665	0.00	41231.17	3759171.18	3534171.18	2015	0.8665	47581.00	3759171.18	K065	3246294.00	3287525.17	3287525.17
0.00	0.00	918.62	47.49	195791.33	918.62	225000.00	871.12	0.00	225000.00	0.9329	0.00	182647.81	4012032.67	3787032.67	2015	0.9329	195791.33	4012032.67	K066	3575160.00	3757807.81	3757807.81
0.00	0.00	342.58	-36.82	-151794.89	342.58	225000.00	379.40	0.00	225000.00	0.9472	0.00	-143775.06	1637311.35	1412311.35	2015	0.9472	-151794.89	1637311.35	K067	1706469.00	1562693.94	1562693.94
0.00	0.00	1041.51	-147.34	-607421.44	1041.51	225000.00	1188.85	0.00	225000.00	0.81	0.00	-492011.39	4518679.73	4293679.73	2015	0.81	-607421.44	4518679.73	K068	4194892.00	3702880.61	3702880.61
0.00	0.00	1188.93	-31.19	-128572.58	1188.93	225000.00	1220.12	0.00	225000.00	0.8334	0.00	-107147.48	5126408.51	4901408.51	2015	0.8334	-128572.58	5126408.51	K069	4416794.00	4309646.52	4309646.52
0.00	0.00	1265.84	-76.16	-313979.44	1265.84	225000.00	1342.00	0.00	225000.00	0.8127	0.00	-255163.76	5443475.28	5218475.28	2015	0.8127	-313979.44	5443475.28	K071	4721097.00	4465933.24	4465933.24
0.00	0.00	151.15	-155.51	-641083.18	151.15	225000.00	306.65	0.00	225000.00	0.81	0.00	-519277.13	848103.96	623103.96	2015	0.81	-641083.18	848103.96	K073	1248991.00	729713.87	729713.87
0.00	0.00	672.50	-84.85	-349815.66	672.5	225000.00	757.35	0.00	225000.00	0.8394	0.00	-293645.43	2997393.84	2772393.84	2015	0.8394	-349815.66	2997393.84	K075	2845873.00	2552227.57	2552227.57
0.00	0.00	1302.37	-106.03	-437105.90	1302.37	225000.00	1408.40	0.00	225000.00	0.8693	0.00	-379992.91	5594071.70	5369071.70	2015	0.8693	-437105.90	5594071.70	K078	5272533.00	4892540.09	4892540.09
0.00	0.00	495.24	-21.85	-90087.73	495.24	225000.00	517.10	0.00	225000.00	0.9248	0.00	-83314.88	2266660.90	2041660.90	2015	0.9248	-90087.73	2266660.90	K081	2196483.00	2113168.12	2113168.12
0.00	0.00	863.55	168.73	695602.26	863.55	225000.00	694.82	0.00	225000.00	1.0097	0.00	695602.02	3785041.46	3560041.46	2015	1	695602.26	3785041.46	K084	3123939.00	3819541.02	3819541.02
0.00	0.00	643.40	-7.34	-30270.58	643.4	225000.00	650.75	0.00	225000.00	0.81	0.00	-24519.17	2877461.46	2652461.46	2015	0.81	-30270.58	2877461.46	K086	2398013.00	2373493.83	2373493.83
0.00	0.00	2022.74	79.83	329084.85	2022.74	225000.00	1942.92	0.00	225000.00	0.8557	0.00	281592.64	8563840.66	8338840.66	2015	0.8557	329084.85	8563840.66	K088	7078820.00	7360412.64	7360412.64
0.00	0.00	728.72	26.05	107404.27	728.72	225000.00	702.66	0.00	225000.00	0.897	0.00	96340.23	3229163.40	3004163.40	2015	0.897	107404.27	3229163.40	K089	2823355.00	2919695.23	2919695.23
0.00	0.00	750.92	-11.58	-47730.84	750.92	225000.00	762.50	0.00	225000.00	0.9082	0.00	-43350.18	3320711.94	3095711.94	2015	0.9082	-47730.84	3320711.94	K090	3079943.00	3036592.82	3036592.82
0.00	0.00	597.80	-74.54	-307289.90	597.8	225000.00	672.34	0.00	225000.00	0.8674	0.00	-266529.42	2689476.27	2464476.27	2015	0.8674	-307289.90	2689476.27	K091	2629105.00	2362575.58	2362575.58
0.00	0.00	572.67	-36.10	-148836.30	572.67	225000.00	608.77	0.00	225000.00	0.8811	0.00	-131141.66	2585866.34	2360866.34	2015	0.8811	-148836.30	2585866.34	K092	2436333.00	2305191.34	2305191.34
0.00	0.00	359.65	-41.74	-172093.48	359.65	225000.00	401.40	0.00	225000.00	0.81	0.00	-139395.77	1707677.73	1482677.73	2015	0.81	-172093.48	1707677.73	K093	1565365.00	1425969.23	1425969.23
0.00	0.00	2266.99	67.92	280003.42	2266.99	225000.00	2199.07	0.00	225000.00	0.823	0.00	230434.32	9570766.45	9345766.45	2015	0.823	280003.42	9570766.45	K094	7685848.00	7916282.32	7916282.32
0.00	0.00	1223.89	-53.34	-219877.83	1223.89	225000.00	1277.23	0.00	225000.00	0.9147	0.00	-201125.38	5270559.91	5045559.91	2015	0.9147	-219877.83	5270559.91	K095	5041371.00	4840245.62	4840245.62
