459 492.76 2256442.69 2031442.69	20438.9
460 949.43 4139056.12 3914056.12	15919.97
463 594.65 2676492.36 2451492.36	17613.73
471 928.94 4054584.56 3829584.56	8059.02
472 173.85 941696.79 716696.79	50782.8
473 6096.32 25357358.44 25132358.44	12437487.05
481 1675 7130255.75 6905255.75	158983.68
482 1039.19 4509107.17 4284107.17	14679.3
484 1087.38 4707779.46 4482779.46	20771.94
493 5282.13 22000820.31 21775820.31	6713890.45
507 513.97 2343875.51 2118875.51	19367.61
509 657.12 2933992.55 2708992.55	26269.45
516 1914.92 8119332.96 7894332.96	305326.97
518 1024.25 4447518.54 4222518.54	40792.07
52 661.07 2950283.90 2725283.90	10310.83
521 557.74 2524320.27 2299320.27	6511.53
522 813.34 3578050.56 3353050.56	20893.64
525 1124.5 4860818.58 4635818.58	48883.11
525 615.43 2762126.09 2537126.09	26754.25
530 700.95 3114715.20 2889715.20	18136.02
538 457.54 2111218.62 1886218.62	16030.57
539 964.27 4200256.96 3975256.96	60656.17
540 1385.79 5937972.34 5712972.34	77698.8
543 432.5 2008002.01 1783002.01	15061.79
544 636.6 2849408.61 2624408.61	22821.13
546 208.86 1086030.12 861030.12	12450.17
55 373.31 1763993.24 1538993.24	18216.83
550 639.38 2860884.28 2635884.28	15693.81
553 445.71 2062460.59 1837460.59	13268.77
557 510.71 2330426.36 2105426.36	26901.56
56 151.15 848103.96 623103.96	64686.43
56 540.99 2455266.64 2230266.64	17228.11
562 1215.46 5235785.20 5010785.20	69455.86
562 69.97 513435.04 288435.04	121107.52
566 392.33 1842377.93 1617377.93	24276.55
57 672.5 2997393.84 2772393.84	31925.66
571 145.36 824235.80 599235.80	66056.55
572 781.51 3446791.50 3221791.50	21938.53
597 373.18 1763469.02 1538469.02	20343.35
6 291.79 1427929.12 1202929.12	14277.95
603 277.61 1369439.81 1144439.81	19644.66
609 613.13 2752669.49 2527669.49	18915.5
609 756.57 3343985.32 3118985.32	14113.79
61 947.72 4132002.68 3907002.68	14108.59
613 361.45 1715101.22 1490101.22	43961.47
62 2022.74 8563840.66 8338840.66	802871.18
623 574.79 2594615.21 2369615.21	8947.19
625 575.97 2599482.20 2374482.20	14910.2
630 668.46 2980768.53 2755768.53	28202.08
636 684.95 3048727.90 2823727.90	22128.3
644 823.72 3620823.83 3395823.83	61814.68
645 1223.77 5270060.23 5045060.23	196537.71
666 470.32 2163919.90 1938919.90	45430.13
670 558.96 2529334.88 2304334.88	14249.11
671 591.13 2661945.67 2436945.67	21830.44
681 314 1519495.87 1294495.87	49410.67
697 1466.77 6271845.72 6046845.72	132740.62
697 253.5 1270052.08 1045052.08	16294.17
71 1955.33 8285925.06 8060925.06	401149.01
74 679.04 3024377.37 2799377.37	15643.28
743 568.88 2570226.10 2345226.10	33414.53
746 156.38 869694.71 644694.71	43186.73
755 502.66 2297240.22 2072240.22	23289.02
76 1744.55 7416989.48 7191989.48	100777.36
763 607.27 2728496.63 2503496.63	26606.91
769 771.77 3406676.63 3181676.63	7062.81
776 774.16 3416512.56 3191512.56	11550.34
780 163.25 898009.25 673009.25	20585.1
782 592.14 2666113.10 2441113.10	6898.86
788 81.9 562635.91 337635.91	159421.19
83 393.24 1846162.03 1621162.03	25599.56
85 937.86 4091353.92 3866353.92	66816.48
86 487.85 2236192.41 2011192.41	22778.42
88 1895.53 8039395.48 7814395.48	202121.49
94 540.49 2453212.26 2228212.26	13118.85
1 1663.15 7081416.99 6856416.99	187400.25
104 833.47 3661013.83 3436013.83	24901.46
105 120.82 723067.62 498067.62	56109.73
112 2320.06 9789573.24 9564573.24	557239.7
116 712.72 3163238.58 2938238.58	27236.75
116 792.95 3493963.87 3268963.87	10883.18
132 1719.52 7313811.58 7088811.58	191817.8
133 828.67 3641231.05 3416231.05	46064.25
134 748.99 3312752.22 3087752.22	8518.67
137 1001.32 4352997.60 4127997.60	81395.69
137 1820.23 7728963.39 7503963.39	90740.45
148 718.89 3188667.17 2963667.17	17236.03
151 1224.28 5272157.33 5047157.33	200732.42
157 1204.5 5190612.17 4965612.17	13007.14
162 2020.45 8554387.03 8329387.03	536989.06
167 1275.36 5482738.70 5257738.70	68854.89
169 1634.46 6963134.57 6738134.57	91003.2
185 438.44 2032495.37 1807495.37	12074.47
192 907.83 3967582.68 3742582.68	26985.2
196 1109.48 4798886.72 4573886.72	27790.39
202 639.86 2862856.71 2637856.71	18381.09
205 1126.81 4870330.64 4645330.64	29856.68
213 454.69 2099469.82 1874469.82	13670.16
214 1742.78 7409708.85 7184708.85	87378.76
215 328.81 1580517.09 1355517.09	32401.77
219 70.36 515078.66 290078.66	117819.89
22 1028.12 4463456.86 4238456.86	31880.51
22 740.88 3279295.90 3054295.90	19347.48
24 355.7 1691379.75 1466379.75	15207.89
245 2140.06 9047496.88 8822496.88	406878.3
246 377.72 1782185.49 1557185.49	14185.4
249 1431.11 6124810.69 5899810.69	130089.72
25 279.99 1379260.95 1154260.95	19644.66
258 602.29 2707983.03 2482983.03	26689.57
261 862.83 3782060.39 3557060.39	21841.95
262 973.73 4239227.32 4014227.32	37363.89
265 129.77 759965.82 534965.82	49394.83
27 835.2 3668141.90 3443141.90	15970.93
279 842.54 3698390.17 3473390.17	18444.47
282 619.14 2777425.35 2552425.35	18173.8
285 1415.33 6059773.72 5834773.72	57365.59
286 1317.52 5656531.92 5431531.92	132722.87
287 768.91 3394851.64 3169851.64	19804.22
292 989.37 4303718.68 4078718.68	68096.4
296 693.83 3085359.48 2860359.48	12384.98
3 403.3 1887640.41 1662640.41	24357.06
304 322.65 1555135.45 1330135.45	29173.2
315 847.57 3719153.72 3494153.72	31734.87
318 882.53 3863276.50 3638276.50	34696.67
321 741.97 3283809.69 3058809.69	18826.1
34 413.04 1927774.32 1702774.32	21708.55
346 290.3 1421766.57 1196766.57	26227.58
347 564.83 2553520.86 2328520.86	12074.66
347 643.22 2876722.85 2651722.85	18065.34
359 577.75 2606791.59 2381791.59	18303.6
36 330.11 1585899.03 1360899.03	40451.08
366 256.8 1283679.85 1058679.85	21317.92
368 634.84 2842138.31 2617138.31	30247.18
376 2697 11343500.51 11118500.51	927312.73
396 291.56 1426964.33 1201964.33	14778.17
40 799.35 3520349.21 3295349.21	26641.53
403 1442.32 6171030.89 5946030.89	173280.01
403 565.79 2557504.53 2332504.53	20227.64
405 802.58 3533668.36 3308668.36	31943.35
413 464.81 2141207.59 1916207.59	30997.78
420 1164.24 5024636.00 4799636.00	47804.82
420 733.02 3246907.35 3021907.35	27780.93
423 854.49 3747679.38 3522679.38	25076.14
426 634.85 2842218.60 2617218.60	14381.77
431 1036.12 4496457.04 4271457.04	12009.62
432 423.64 1971473.64 1746473.64	16458.98
435 320.77 1547369.74 1322369.74	30060.56
437 755.57 3339863.14 3114863.14	32922.07
449 6991.62 29048257.41 28823257.41	19820180.29
45 556.34 2518538.92 2293538.92	15506.66
451 340.51 1628770.40 1403770.40	19734.43
454 360.74 1712147.90 1487147.90	8941.43
461 929.7 4057727.76 3832727.76	10995.33
47 423.91 1972572.13 1747572.13	18656.23
470 1126.42 4868722.07 4643722.07	33074.21
471 734.02 3251025.64 3026025.64	34071.11
473 295.44 1442969.42 1217969.42	15806.3
475 619.07 2777157.84 2552157.84	17350.34
477 862.16 3779284.35 3554284.35	48874.15
480 777.76 3431339.99 3206339.99	10475.13
483 763.76 3373628.61 3148628.61	28452.25
485 569.98 2574761.67 2349761.67	14290.83
487 499.84 2285597.12 2060597.12	16496.66
487 884.76 3872452.03 3647452.03	25497.69
496 1052.67 4564677.04 4339677.04	23041.8
497 1072.16 4645033.68 4420033.68	131297.06
50 157.87 875845.07 650845.07	42364.77
508 1822.43 7738071.36 7513071.36	158160.39
509 1870.98 7938190.57 7713190.57	242126.58
51 918.62 4012032.67 3787032.67	66092.56
510 1269.18 5457236.93 5232236.93	62283.47
510 562.23 2542818.80 2317818.80	34532.67
511 664.97 2966385.95 2741385.95	11331.36
521 615.71 2763281.35 2538281.35	9224.44
53 1041.51 4518679.73 4293679.73	31576.11
532 1092.27 4727926.74 4502926.74	85003.35
554 395.05 1853618.04 1628618.04	25541.36
555 497.71 2276848.76 2051848.76	17006.61
560 514.18 2344730.38 2119730.38	16724.57
563 248.27 1248524.15 1023524.15	34718.18
565 70.83 517018.20 292018.20	113940.34
567 1841.62 7817141.96 7592141.96	242126.58
567 209.56 1088919.07 863919.07	16693.56
579 657.73 2936536.71 2711536.71	25614.68
584 619.57 2779189.78 2554189.78	21414.72
585 350.88 1671527.03 1446527.03	3301.72
590 270.63 1340685.47 1115685.47	32872.97
596 686.07 3053363.60 2828363.60	17146.52
600 1328.29 5700920.58 5475920.58	94416.09
604 376.03 1775196.05 1550196.05	10269.27
604 454.52 2098759.27 1873759.27	32323.53
607 363.82 1724874.84 1499874.84	14493.94
621 772.93 3411437.25 3186437.25	19460.24
635 717.77 3184053.85 2959053.85	27072.16
638 1000.03 4347665.12 4122665.12	55109.24
641 778.61 3434863.08 3209863.08	17522.16
649 722.08 3201797.41 2976797.41	15006.56
657 339.91 1626302.32 1401302.32	22020.73
657 346.45 1653253.51 1428253.51	61053.84
662 319.18 1540838.16 1315838.16	16281.39
664 844.95 3708354.46 3483354.46	21601.14
666 598.53 2692481.77 2467481.77	12725.61
673 1086.85 4705572.34 4480572.34	16357.17
674 728.99 3230306.98 3005306.98	12608.53
685 296.69 1448130.81 1223130.81	21839.49
704 738.81 3270782.73 3045782.73	21845.55
707 318.1 1536399.97 1311399.97	9706.51
709 525.17 2390021.33 2165021.33	7284.16
718 698.75 3105648.29 2880648.29	11912.98
719 409.52 1913275.88 1688275.88	9751.9
720 2378.31 10029685.08 9804685.08	1224938.71
726 381.97 1799690.39 1574690.39	25992.61
740 275.13 1359248.09 1134248.09	33178.12
762 689.15 3066055.70 2841055.70	8240.76
769 434.71 2017098.98 1792098.98	18196.15
770 744.25 3293221.60 3068221.60	18826.1
775 627.36 2811301.76 2586301.76	40679.16
779 124.38 737773.53 512773.53	63237.89
783 176.66 953293.98 728293.98	43849.52
786 167.5 915539.12 690539.12	43560.5
787 289.7 1419298.13 1194298.13	20663.95
80 666.35 2972050.94 2747050.94	14942.69
91 1084.86 4697394.75 4472394.75	26242.66
98 568.25 2567617.12 2342617.12	16188.04
10 811.29 3569565.49 3344565.49	37865.83
101 238.21 1207017.93 982017.93	139824.41
106 1634.37 6962776.18 6737776.18	111246.91
12 273.68 1353259.98 1128259.98	58232.86
127 1276.73 5488374.89 5263374.89	74778.39
132 621.34 2786511.15 2561511.15	21960.62
133 250.17 1256331.04 1031331.04	19102.5
135 752.36 3326618.70 3101618.70	28273.18
136 1099.54 4757895.06 4532895.06	112152.68
154 756.36 3343134.77 3118134.77	12412.48
158 2080.73 8802886.18 8577886.18	1031216.01
